wiki_title,wiki_url,company_type,traded_as,founded,headquarters,num_locations,area_served,key_people,services,revenue,operating_income,net_income,total_assets,total_equity,num_employees,subsidiaries,website,founders,formerly,products,isin
NiSource,https://en.wikipedia.org/wiki/NiSource,Public,NYSE: NIS&P 500 component,1912; 113 years ago (1912),"Merrillville, Indiana, U.S.",,,Lloyd Yates (CEO),,US$5.46 billion (2024),US$1.46 billion (2024),US$760 million (2024),US$31.8 billion (2024),US$10.7 billion (2024),"7,687 (2024)",,nisource.com,,"NIPSCO Industries, Inc. (1987–1999)","Natural gas, electricity",
NRG Energy,https://en.wikipedia.org/wiki/NRG_Energy,Public,NYSE: NRGS&P 500 component,1989; 36 years ago (1989),"1301 McKinney Street, Houston, Texas, U.S.",,United StatesCanada,Larry Coben (president and CEO),,US$28.130 billion (2024),US$2.42 billion (2024),US$1.13 billion (2024),US$24.02 billion (2024),US$2.478 billion (2024),"15,673 (2024)",Reliant EnergyDirect EnergyStream EnergyGreen Mountain Energy,www.nrg.com,Seth Allen,,Electricity generationElectric power transmissionElectricity distribution,
"Waste Management, Inc.","https://en.wikipedia.org/wiki/Waste_Management,_Inc.",Public,NYSE: WMS&P 500 component,"January 1, 1968; 57 years ago (1968-01-01)[citation needed] in Chicago, Illinois, U.S.","Houston, Texas, U.S.",,North America,"James C. Fish, Jr. (president & CEO)","Waste, recyclables, yard debris / organics, and hazardous materials collection, hauling, treatment and disposalDumpster rentalPortable toilet rentalSustainability Advisory Services","US$20.426 billion (Fiscal Year Ended December 31, 2023)","US$3.575 billion (Fiscal Year Ended December 31, 2023)","US$2.304 billion (Fiscal Year Ended December 31, 2023)","US$32.823 billion (Fiscal Year Ended December 31, 2023)","US$6.903 billion (Fiscal Year Ended December 31, 2023)","~48,000 (December 2023)",,wm.com,Wayne HuizengaDean Buntrock,"USA Waste Services, Inc.",Bagster,
Pacific Cycle,https://en.wikipedia.org/wiki/Pacific_Cycle,Subsidiary,,1977; 48 years ago (1977),"Madison, Wisconsin",,,,,,,,,,,,pacific-cycle.com,Chris Hornung,,,
Transportadora de Gas del Sur,https://en.wikipedia.org/wiki/Transportadora_de_Gas_del_Sur,Joint stock company,NYSE: TGS BCBA: TGSU MERVAL component,December 1992; 32 years ago (1992-12),"Buenos Aires, Argentina",,,"Joao Ferreira Bezerra de Souza, Chairman of the board Mariano Pablo Gonzalez, Vice Chairman of the BoardGonzalo Castro Olivera, Chief Financial and Administrative Officer",,"ARS 1,309.50 M (2007, ~US$413.26 M)",,"ARS 347.40 M (2007, ~US$109.63 M)",,,644 (as of 2007),,tgs.com.ar,,,"Natural gas, LNG",
TC Energy,https://en.wikipedia.org/wiki/TC_Energy,Public,TSX: TRP S&P/TSX 60 component,1951; 74 years ago (1951),"450 1 Street SWCalgary, AlbertaT2P 5H1",,CanadaMexicoUnited States,François Poirier (president and CEO),Pipeline transport Natural gas storage Electricity generation,"CA$13.387 Billion (Fiscal Year Ended December 31, 2021)","CA$2.166 Billion (Fiscal Year Ended December 31, 2021)","CA$2.046 Billion (Fiscal Year Ended December 31, 2021)","CA$104.218 Billion (Fiscal Year Ended December 31, 2021)","CA$33.396 Billion (Fiscal Year Ended December 31, 2021)","7,000",,www.tcenergy.com,,,,
Dominion Energy,https://en.wikipedia.org/wiki/Dominion_Energy,Public,NYSE: DDJUA componentS&P 500 component,"1983; 42 years ago (1983) in Virginia, U.S.","Richmond, Virginia, U.S.",,"Georgia, Idaho, North Carolina, Ohio, Pennsylvania, South Carolina, Utah, Virginia, West Virginia, Wyoming",Robert Blue (CEO and chairman) James R. Chapman (CFO),,US$ 16.572 billion (2019) US$ 13.366 billion (2018),US$ 2.514 billion (2019) US$ 3.601 billion (2018),US$ 1.376 billion (2019) US$ 2.549 billion (2018),US$ 103.823 billion (2019) US$ 77.914 billion (2018),US$ 34.033 billion (2019) US$ 22.048 billion (2018),"21,000 (2019)",,dominionenergy.com,,Dominion Resources (1983–2017)Virginia Electric and Power Company (VEPCO) (1925–1983)Virginia Railway and Power Company (1909–1925),ElectricityNatural gas,
Wireless power transfer,https://en.wikipedia.org/wiki/Wireless_power_transfer,,,,,,,,,,,,,,,,,,,,
Adtran,https://en.wikipedia.org/wiki/Adtran,Public,Nasdaq: ADTNFWB: QH9SDAX component,1985; 40 years ago (1985),"Huntsville, Alabama, US",,,Tom Stanton (CEO),,US$1.1 Billion (FY 2023),US$-221.3 Million (FY 2023),US$-8.3 Million (FY 2023),US$736.9 Million (FY 2023),US$593.8 Million (FY 2023),1405,,adtran.com,,,,US00486H1059
American Water Works,https://en.wikipedia.org/wiki/American_Water_Works,Public,NYSE: AWKDJUA componentS&P 500 component,1886; 139 years ago (1886),"Camden, New Jersey, U.S.",,,"John C. Griffith, President and Chief Executive OfficerCheryl Norton, EVP and Chief Operating OfficerDavid Bowler, EVP and Chief Financial Officer Stacy Mitchell, EVP and General CounselNicholas Furia, VP and TreasurerKarl F. Kurz, Board memberJeffrey Edwards, DirectorKimberly J. Harris, DirectorLaurie P. Havanec, DirectorJulia L. Johnson, DirectorPatricia L. Kampling, DirectorMichael L. Marberry, DirectorStuart M. McGuigan, DirectorLori Sutton, CHRO",,US$4.68 billion (2024),US$1.72 billion (2024),US$1.05 billion (2024),US$32.83 billion (2024),US$10.33 billion (2024),"6,700",,American Water Corporate,James S. KuhnW.S. Kuhn,,Water,
Republic Services,https://en.wikipedia.org/wiki/Republic_Services,Public,NYSE: RSGS&P 500 component,1981; 44 years ago (1981),"Phoenix, Arizona, United States",,United States,Jon Vander Ark (President and CEO)Brian DelGhiaccio (CFO)Gregg Brummer (COO)Manuel Kadre (Chairman),,US$16.03 billion (2024),US$3.196 billion (2024),US$2.043 billion (2024),US$32.40 billion (2024),US$11.41 billion (2024),"42,000 (2024)",,republicservices.com,,,,
Enel Generación Chile,https://en.wikipedia.org/wiki/Enel_Generaci%C3%B3n_Chile,Sociedad Anónima,BCS: ENELGXCHNYSE: ENICBMAD: XEOC,1943,"Santiago, Chile",,,"Joaquín Galindo Vélez, (CEO) Eduardo Escaffi Johnson, (CFO)",Electricity generation,US$4.5 billion (2011),,US$858.0 million (2011),,,"2,447",,www.enel.cl,,,,
AES Corporation,https://en.wikipedia.org/wiki/AES_Corporation,Public,NYSE: AESS&P 500 component,"January 28, 1981; 44 years ago (1981-01-28)","Arlington, Virginia, U.S.",,Worldwide,Jay Morse (chairman)Andres Gluski (president & CEO),,US$12.7 billion (2023),,US$249 million (2023),US$44.8 billion (2023),US$2.49 billion (2023),"c. 9,600 (2023)",,aes.com,Roger SantDennis Bakke,"Applied Energy Services, Inc. (1981–2000)",Electricity,
Consolidated Edison,https://en.wikipedia.org/wiki/Consolidated_Edison,Public,NYSE: EDDJUA componentS&P 500 component,"March 26, 1823; 202 years ago (1823-03-26) – as New York Gas Light Company1871 – Harlem Gas Light Company1884 – Consolidated Gas Company","Consolidated Edison Building, New York City, U.S.",,New York metropolitan area,Tim Cawley (CEO),ElectricityGasSteam,US$15.26 billion (2024),US$2.67 billion (2024),US$1.82 billion (2024),US$70.56 billion (2024),US$21.96 billion (2024),"15,097 (2024)",,coned.com,,,,
"Clearfield, Inc.","https://en.wikipedia.org/wiki/Clearfield,_Inc.",Public,Nasdaq: CLFD,2008,"Minneapolis, Minnesota, United States",,,,,,,,,,,,https://www.seeclearfield.com,,APA Cables,,
Talen Energy,https://en.wikipedia.org/wiki/Talen_Energy,Public,Nasdaq: TLNS&P 400 component,"June 1, 2015; 10 years ago (2015-06-01)","Houston, Texas, U.S.",,,"Mark ""Mac"" McFarland(chief executive officer) Terry Nutt, chief financial officer John Wander, General Counsel and Corporate Secretary",,,,,,,"1,900",Cumulus Growth,talenenergy.com,,,,
Alliant Energy,https://en.wikipedia.org/wiki/Alliant_Energy,Public,Nasdaq: LNTS&P 500 component,1917; 108 years ago (1917),"Madison, Wisconsin, U.S.",,,,,"US$3.669 billion (Fiscal Year Ended December 31, 2021)","US$0.795 billion (Fiscal Year Ended December 31, 2021)","US$0.674 billion (Fiscal Year Ended December 31, 2021)","US$18.553 billion (Fiscal Year Ended December 31, 2021)","US$5.990 billion (Fiscal Year Ended December 31, 2021)","3,375 (2021)",Interstate Power & LightWisconsin Power & Light,alliantenergy.com,,Interstate Energy Corp.,ElectricityNatural gas,
Pinnacle West Capital,https://en.wikipedia.org/wiki/Pinnacle_West_Capital,Public company,NYSE: PNWS&P 500 component,1985; 40 years ago (1985),"Phoenix, Arizona, U.S.",,,Jeffrey B. Guldner(Chairman & CEO),,US$3.565 billion (2017),US$934 million (2017),US$508 million (2017),,,"6,292 (2017)",,pinnaclewest.com,,,,US7234841010
Energy Transfer,https://en.wikipedia.org/wiki/Energy_Transfer,Public,NYSE: ET,1996; 29 years ago (1996),"Dallas, Texas, U.S.",,,Kelcy Warren (chairman)Thomas E. Long (co-CEO)Marshall S. McCrea III (co-CEO)Dylan A. Bramhall (CFO)Rick Perry (director),,$82.671 billion (2024),,$6.565 billion (2024),$125.38 billion (2024),$46.017 billion (2024),"16,248 (2024)",SunocoLake Charles LNG,energytransfer.com,Kelcy WarrenRay Davis,,Pipeline transport,
Pampa Energía,https://en.wikipedia.org/wiki/Pampa_Energ%C3%ADa,Sociedad Anónima,BCBA: PAMPNYSE: PAMMERVAL component,2005; 20 years ago (2005),"Buenos Aires, Argentina",,,"Marcelo Mindlin (Chairman), Gustavo Mariani (CEO), Ricardo Torres (Executive Vice President), Damián Mindlin (Executive Vice President)",Electric power transmissionElectricity distributionGas transportMidstreamOil transportation,US$2.9 billion (2018),,US$287 million (2018),,,"10,000",Edenor Transener TGS Petrolera Pampa Refinería del Norte,pampaenergia.com,,,"Oil, Natural Gas, Electric power, Styrenics",
Oklo Inc.,https://en.wikipedia.org/wiki/Oklo_Inc.,Public,NYSE: OKLO,2013; 12 years ago (2013),"Santa Clara, California, U.S.",,Worldwide,,,,,,,,100 (2024),,oklo.com,Jacob DeWitte Caroline DeWitte,,Aurora Powerhouse Reactor,
Netgear,https://en.wikipedia.org/wiki/Netgear,Public,Nasdaq: NTGR,"January 8, 1996; 29 years ago (1996-01-08)","San Jose, California, U.S.",,,Charles Prober (CEO)Bryan Murray (CFO),,US$674 million (2024),US$12.2 million (2024),US$12.4 million (2024),US$850 million (2024),US$541 million (2024),655 (2024),,netgear.com,Patrick LoMark G. Merrill,,RoutersDSL/cable gatewaysSwitchesWireless access pointsNetwork attached storageSurveillance IP cameras,
Chesapeake Utilities,https://en.wikipedia.org/wiki/Chesapeake_Utilities,Public,NYSE: CPKRussell 2000 Component S&P 600 component,1859,"Dover, Delaware",,,,,,,,,,,,www.chpk.com,,,Natural gas,
Brookfield Infrastructure Partners,https://en.wikipedia.org/wiki/Brookfield_Infrastructure_Partners,Public,NYSE: BIPTSX: BIP.UNNYSE: BIPCTSX: BIPC,"January 14, 2008; 17 years ago (2008-01-14)","Toronto, Ontario, Canada",,Worldwide,Sam Pollock (CEO),,US$21 billion (2024),,,US$36.916 billion (2024),,,,bip.brookfield.com,,,"Utilities, transport, energy, communications, infrastructure",
Exelon,https://en.wikipedia.org/wiki/Exelon,Public,Nasdaq: EXCDJUA componentNasdaq-100 componentS&P 500 component,"October 20, 2000; 25 years ago (2000-10-20); by merger","Chase TowerChicago, Illinois, U.S.",,,Calvin Butler(president and CEO),Electricity and natural gas distribution,US$23.03 billion (2024),US$4.319 billion (2024),US$2.460 billion (2024),US$107.8 billion (2024),US$26.92 billion (2024),"20,014 (2024)",Atlantic City ElectricBaltimore Gas and ElectricCommonwealth EdisonDelmarva PowerPECO Energy CompanyPepco,www.exeloncorp.com,,,Electrical powerNatural gas,
TransAlta,https://en.wikipedia.org/wiki/TransAlta,Public,TSX: TANYSE: TAC,1911,"Calgary, Alberta, Canada",,,"John Kousinioris (President and CEO), John P. Dielwart (Board Chair) Appt’d April 21, 2020",,CA$2.1 billion (2020),,,CA$9.7 billion (2020),,"1,476 (Dec. 31, 2020)",,www.transalta.com,,,"Power Generation (8,128 MW aggregate generating capacity).",
H2O (American band),https://en.wikipedia.org/wiki/H2O_(American_band),,,,,,,,,,,,,,,,,,,,
NW Natural,https://en.wikipedia.org/wiki/NW_Natural,Public,NYSE: NWNS&P 600 Component,"January 7, 1859; 166 years ago (1859-01-07) in Portland, Oregon Territory","Portland, Oregon, United States",,,"David H. Anderson, President & CEOTod R. Hamachek, Chairman",,$1.197 billion (2023),,$93.8 million (2023),$4.867 billion (2023),$1.283 billion (2023),"1,214 (2023)",NNG Financial CorporationNW Natural Gas Storage LLCNW Natural Water,www.nwnatural.com,,Portland Gas Light Co.,natural gas,
WEC Energy Group,https://en.wikipedia.org/wiki/WEC_Energy_Group,Public,NYSE: WECS&P 500 component,1896; 129 years ago (1896),"Milwaukee, Wisconsin, U.S.",,,"Gale Klappa, Executive Chairman, Scott Lauber, CEO",,US$8.6 billion (2024),,,,,"7,017 (2024)",,wecenergygroup.com,,,,
Avista,https://en.wikipedia.org/wiki/Avista,Public,NYSE: AVAS&P 600 component,"1889, 136 years ago (as Washington Water Power)","1411 E Mission Ave, Spokane, Washington, U.S.",,,"Dennis P Vermillion Chairman and CEO October 1, 2019-present",,$1.473 billion,$257.6 million (2023),$171 million (2023),,,"1,982",Alaska Electric Light & Power,www.myavista.comOutage Map,,Washington Water Power,Electricity and natural gas,
Algonquin Power & Utilities,https://en.wikipedia.org/wiki/Algonquin_Power_%26_Utilities,Public,TSX: AQN NYSE: AQN,1988; 37 years ago (1988),"Oakville, Ontario, Canada",,North America,Rod West (CEO),,US$2.320 billion (2024),US$446.1 million (2024),US$−1.516 billion (2024),US$16.962 billion (2024),US$6.176 billion (2024),"3,786 (2025)","Liberty Utilities (Liberty), Suralis, Bermuda Electric Light Company",algonquinpower.com,"Ian Robertson, Chris Jarratt",,,
Ultrapar,https://en.wikipedia.org/wiki/Ultrapar,Public,B3: UGPA3NYSE: UGP,30 August 1937,"São Paulo, Brazil",,,Marcos LutzRodrigo Pizzinatto (CFO),,R$ 147 bilhões (2022),,R$ 1.8 bilhão (2022),,,"9,778 direct76.000 indirect",Ipiranga Ultragaz Ultracargo,www.ultra.com.br,Ernesto Igel,,BiomethaneFuelsLPGCompressed Natural GasEnergyLogisticsService stationsBulk-liquids,
Edison International,https://en.wikipedia.org/wiki/Edison_International,Public,NYSE: EIXDJUA componentS&P 500 component,1886; 139 years ago (1886),"Rosemead, California, U.S.",,,Pedro J. Pizarro (President and CEO),,US$16.338 billion (2023)US$17.220 billion (2022),US$2.627 billion (2023)US$1.483 billion (2022),US$1.407 billion (2023)US$824 million (2022),US$81.758 billion (2023)US$78.041 billion (2022),,"14,375 (2023)13,388 (2022)",S.California Edison (SCE)Edison Energy,edison.com,,,"electricity, energy solutions",
Ormat Technologies,https://en.wikipedia.org/wiki/Ormat_Technologies,Public,NYSE: ORAS&P 400 componentTASE: ORATA-35 Index component,1965; 60 years ago (1965),"Reno, Nevada, U.S.",,,,,US$703 million (2022),US$175 million (2022),US$63 million (2022),US$4.45 billion (2022),US$1.97 billion (2022),"1,576 (December 31, 2023)",,ormat.com,Lucien and Dita Bronicki,,Geothermal powerEnergy recovery,US6866881021
Black Hills Corporation,https://en.wikipedia.org/wiki/Black_Hills_Corporation,Public,NYSE: BKHS&P 400 component,1941; 84 years ago (1941),"Rapid City, South Dakota, United States",,,"Linden Evans (president, CEO)",,US$1.696 Billion (Fiscal Year Ended 31 December 2020),US$428.303 Million (Fiscal Year Ended 31 December 2020),US$242.763 Million (Fiscal Year Ended 31 December 2020),US$8.088 Billion (Fiscal Year Ended 31 December 2020),US$2.662 Billion (Fiscal Year Ended 31 December 2020),,"Black Hills PowerCheyenne Light, Fuel & PowerBlack Hills EnergyWyodak ResourceBH Exploration and ProductionEnserco Energy",ir.blackhillscorp.com,J. B. French,,,
NorthWestern Energy,https://en.wikipedia.org/wiki/NorthWestern_Energy,Public,Nasdaq: NWES&P 400 component,"November 27, 1923; 101 years ago (1923-11-27) (as Northwestern Public Service Company)","Sioux Falls, South Dakota, United States",,"Eastern South Dakota, Western Montana",E. Linn Draper Jr. (chairman) Robert C. Rowe (president and CEO),Conventional electricityNatural gas,,,,,,"1,600",,northwesternenergy.com,Albert Emanuel,,"utility operations consist of regulated electric and natural gas distribution, transmission and energy supply. In addition, they are pursuing electric transmission and generation opportunities.",
Public Service Enterprise Group,https://en.wikipedia.org/wiki/Public_Service_Enterprise_Group,Public,NYSE: PEGDJUA componentS&P 500 component,"1903; 122 years ago (1903) (legacy), 1928; 97 years ago (1928) (PSE&G), 1985; 40 years ago (1985) (PSEG)","Newark, New Jersey, US",,,"Ralph LaRossa (President, CEO)Daniel Cregg (EVP, CFO)",,US$ 10.290 billion (2024) US$ 11.273 billion (2023),US$ 2.353 billion (2024) US$ 3.685 billion (2023),US$ 1.772 billion (2024) US$ 2.563 billion (2023),US$ 54.640 billion (2024) US$ 50.741 billion (2023),US$ 16.114 billion (2024) US$ 15.477 billion (2023),"12,945 (2017)","PSE&G, PSEG PowerPSEG Long Island",pseg.com,,,,
Brookfield Asset Management,https://en.wikipedia.org/wiki/Brookfield_Asset_Management,Public,NYSE: BAMTSX: BAM,12 December 2022; 2 years ago (2022-12-12),"250 Vesey Street, New York City",,,,,,,,,,,,bam.brookfield.com,,,,
Enlight Renewable Energy,https://en.wikipedia.org/wiki/Enlight_Renewable_Energy,Public,TASE: ENLT,"August 1, 2008 (2008-08-01)","Rosh HaAyin, Israel",,,Adi Leviatan (CEO),,,,,,,,,enlightenergy.co.il,,,,
Idacorp,https://en.wikipedia.org/wiki/Idacorp,Public,NYSE: IDAS&P 400 Component,"October 1, 1998; 27 years ago (1998)","Boise, Idaho, United States",,"Idaho, eastern Oregon","Lisa Grow, president and chief executive officer, IDACORP, Inc. and Idaho Power",,$1.35 billion (2020),US$ 352.1 million (2020),$237 million (2020),,,"1,943 (2020)",,www.idacorpinc.com,,,,
ReNew Energy Global,https://en.wikipedia.org/wiki/ReNew_Energy_Global,Public,Nasdaq: RNW,"January 19, 2011; 14 years ago (2011-01-19)","Gurgaon, Haryana, India",,India,Sumant Sinha (chairman and CEO),,"₹5,329 crore (US$630 million) (FY23)","₹3,989 crore (US$470 million) (FY23)",₹675 crore (US$80 million) (FY23),,,1382 (Jan 2022),,renew.com,Sumant Sinha,,"Wind power, Solar power, Solar rooftop power, Hydroelectric power",
Southwest Gas,https://en.wikipedia.org/wiki/Southwest_Gas,Public,NYSE: SWXS&P 400 Component,March 1931; 94 years ago (1931-03),"Las Vegas, Nevada, U.S.",,,Michael J. Melarkey(Chairman of the Board)Karen S. Haller(President & CEO)Gregory J. Peterson(Senior VP & CFO)Lori Colvin(Vice President & Controller),,US$ 2.55 billion (2017),US$ 323.70 million (2017),US$ 193.84 million (2017),US$ 6.24 billion (2017),US$ 1.81 billion (2017),"2,285 (2017)",,SWGas.com,,,,
Ameren,https://en.wikipedia.org/wiki/Ameren,Public,NYSE: AEES&P 500 component,1997; 28 years ago (1997),"St. Louis, Missouri, U.S.",,,"Martin J. Lyons, Jr. (chairman, president & CEO)Mark C. Birk (Ameren Missouri chairman & president)Leonard ""Lenny"" Singh (Ameren Illinois chairman & president)Michael L. Moehn (Ameren Services chairman & president)Shawn E. Schukar (Ameren Transmission chairman & president)",,US$5.794 Billion (Fiscal Year Ended 31 December 2020),US$1.300 Billion (Fiscal Year Ended 31 December 2020),US$0.871 Billion (Fiscal Year Ended 31 December 2020),US$32.030 Billion (Fiscal Year Ended 31 December 2020),US$9.080 Billion (Fiscal Year Ended 31 December 2020),"9,116 (December 31, 2021)",,ameren.com,,,"Electricity (16,900 megawatts) and Natural Gas",
